Time,HR
10:02:19,95
10:02:34,95
10:02:49,95
10:03:04,95
10:03:19,95
10:03:34,95
10:03:49,95
10:04:04,95
10:04:19,95
10:04:34,95
10:04:49,95
10:05:04,95
10:05:19,95
10:05:34,95
10:05:49,95
10:06:04,95
10:06:19,95
10:06:34,95
10:07:28,70
10:07:43,70
10:07:58,70
10:08:13,70
10:08:28,70
10:08:43,70
10:08:58,70
10:09:13,70
10:09:28,70
10:09:43,70
10:09:58,70
10:10:13,70
10:10:28,70
10:10:43,70
10:10:58,70
10:11:13,70
10:11:28,70
10:11:43,70
10:11:58,70
10:12:13,70
10:12:28,70
10:12:43,70
10:12:58,70
10:13:13,70
10:13:28,70
10:13:43,70
10:13:58,70
10:14:01,70
10:14:16,70
10:14:31,70
10:14:46,70
10:15:01,70
10:15:16,70
10:15:31,70
10:15:46,70
10:16:01,70
10:16:16,70
10:16:31,70
10:16:46,70
10:17:01,70
10:17:16,70
10:17:31,70
10:17:46,70
10:18:01,70
10:18:16,70
10:18:31,70
10:18:46,70
10:19:01,70
10:19:16,70
10:19:31,70
10:19:46,70
10:20:01,70
10:21:18,70
10:21:33,70
10:21:48,70
10:22:03,70
10:22:18,70
10:22:33,70
10:22:48,70
10:23:03,70
10:23:18,70
10:23:33,70
10:23:48,70
10:24:03,70
10:24:21,70
10:24:36,70
10:24:51,70
10:25:06,70
10:25:21,70
10:25:36,70
10:25:46,84
10:26:01,84
10:26:16,84
10:26:26,89
10:26:41,89
10:26:56,89
10:27:11,89
10:27:26,89
10:27:41,89
10:27:56,89
10:28:11,89
10:28:16,93
10:28:31,93
10:28:46,93
10:29:01,93
10:29:16,93
10:29:31,93
10:29:46,93
10:30:01,93
10:30:16,93
10:30:19,93
10:30:34,93
10:30:44,93
10:30:54,93
10:30:59,93
10:31:04,95
10:31:19,95
10:31:24,97
10:31:39,97
10:31:54,97
10:32:09,97
10:32:24,97
10:32:39,97
10:32:54,97
10:33:09,97
10:33:24,97
10:33:39,97
10:33:54,97
10:34:09,97
10:34:24,97
10:34:39,97
10:34:54,97
10:35:09,97
10:35:24,97
10:35:39,97
10:35:54,97
10:36:09,97
10:36:12,97
10:36:27,96
10:36:42,97
10:36:57,97
10:37:12,97
10:43:41,70
10:48:59,70
11:23:24,70
11:23:34,69
12:15:19,70
12:16:47,70
12:16:57,81
12:17:02,86
12:17:07,94
12:17:29,70
12:17:39,77
12:17:44,92
12:17:49,95
12:17:54,99
12:17:59,101
12:18:42,70
12:18:48,70
12:19:03,70
12:19:18,70
12:19:33,79
12:19:48,79
12:19:58,95
12:20:03,99
12:20:18,96
12:20:23,84
12:20:28,79
12:20:38,83
12:20:43,83
12:20:53,83
12:21:08,81
12:21:18,82
12:21:23,81
12:21:33,81
12:21:48,81
12:22:03,81
12:22:18,83
12:22:33,83
12:22:48,83
12:23:37,70
12:23:52,70
12:24:07,71
12:24:22,71
12:24:37,71
12:24:47,93
12:25:02,93
12:25:17,93
12:25:22,90
12:25:27,81
12:25:42,81
12:25:57,81
12:26:12,81
12:26:27,81
12:26:42,81
12:26:57,81
12:27:12,81
12:27:27,81
12:27:45,81
12:28:00,81
12:28:11,81
12:28:21,81
12:28:36,81
12:28:51,81
12:29:06,81
12:29:21,81
12:29:36,81
12:29:47,81
12:29:57,81
12:30:07,81
12:30:20,81
12:30:35,81
12:30:50,81
12:31:05,81
12:31:20,81
12:31:35,81
12:31:50,81
12:31:55,81
12:32:10,81
12:32:25,81
12:32:40,81
12:32:45,77
12:33:00,77
12:33:15,77
12:33:34,77
12:33:46,70
12:34:01,70
12:34:16,70
12:34:31,70
12:34:46,70
12:35:01,70
12:35:16,70
12:35:43,70
12:35:58,70
12:36:13,70
12:36:28,70
12:36:43,70
12:36:58,70
12:37:13,70
12:37:28,70
12:37:43,95
12:37:48,108
12:38:03,108
12:38:18,108
12:38:53,70
12:39:03,72
12:39:08,74
12:39:13,84
12:39:31,84
12:39:46,84
12:40:01,84
12:40:16,84
12:40:31,84
12:40:46,84
12:41:01,79
12:41:16,79
12:41:31,79
12:41:47,79
12:41:57,79
12:42:02,79
12:42:17,79
12:42:22,79
12:42:37,79
12:42:52,79
12:43:07,79
12:43:22,79
12:43:37,79
12:43:52,79
12:44:07,79
12:44:22,79
12:44:37,79
12:44:47,79
12:45:02,79
12:45:17,74
12:45:32,74
12:45:37,77
12:45:42,82
12:45:57,82
12:46:12,82
12:46:27,82
12:46:32,83
12:46:47,83
12:47:02,83
12:47:17,83
12:47:20,83
12:47:35,83
12:47:50,83
12:48:05,83
12:48:20,83
12:48:35,83
12:48:50,83
12:49:05,83
12:49:20,83
12:49:35,83
12:49:50,83
12:50:05,83
12:50:20,83
12:50:35,83
12:50:50,83
12:51:05,83
12:51:20,83
12:51:35,83
12:51:50,83
12:52:05,83
12:52:20,83
12:52:35,83
12:52:50,83
12:53:05,83
12:53:20,83
12:53:35,83
12:53:50,83
12:53:53,83
12:54:08,83
12:54:23,83
12:54:38,83
12:54:53,83
12:55:08,83
12:55:23,83
12:55:38,83
12:55:53,83
12:56:08,83
12:56:23,83
12:56:38,83
12:56:53,83
12:57:08,83
12:57:23,83
12:57:38,83
12:57:53,83
12:58:03,83
12:58:18,83
12:58:33,83
12:58:43,84
12:58:48,87
12:58:53,90
12:58:58,93
12:59:03,95
12:59:18,94
12:59:28,90
12:59:33,88
12:59:43,86
12:59:48,87
12:59:53,89
12:59:58,92
13:00:03,95
13:00:08,97
13:00:13,99
13:00:18,101
13:00:28,96
13:00:38,98
13:00:43,97
13:00:48,98
13:00:53,99
13:00:58,101
13:01:13,96
13:01:18,95
13:01:23,96
13:01:28,97
13:01:33,98
13:01:38,100
13:01:43,101
13:01:48,100
13:01:58,101
13:02:08,103
13:02:18,104
13:02:23,101
13:02:29,97
13:02:34,98
13:02:39,100
13:02:44,101
13:02:49,102
13:02:59,106
13:03:04,109
13:03:09,118
13:03:14,122
13:03:19,130
13:03:24,134
13:03:34,139
13:03:39,144
13:03:44,141
13:03:49,140
13:03:54,144
13:03:59,146
13:04:04,143
13:04:09,142
13:04:14,145
13:04:19,146
13:04:24,148
13:04:29,149
13:04:34,150
13:04:39,151
13:04:45,151
13:05:00,143
13:05:05,132
13:05:10,122
13:05:15,113
13:05:20,107
13:05:25,103
13:05:30,101
13:05:35,100
13:05:40,98
13:05:45,97
13:05:55,100
13:06:00,99
13:15:36,70
13:15:51,87
13:15:56,84
13:16:01,85
13:16:11,91
13:16:16,97
13:16:21,101
13:16:26,102
13:16:36,101
13:16:41,97
13:16:46,99
13:16:51,111
13:16:56,104
13:17:01,103
13:17:06,101
13:17:11,102
13:17:21,105
13:17:26,108
13:17:31,109
13:17:36,104
13:17:41,104
13:17:46,102
13:17:51,102
13:17:56,101
13:18:02,102
13:18:07,103
13:18:12,104
13:18:17,105
13:18:22,104
13:18:27,103
13:18:37,103
13:18:42,103
13:18:47,106
13:18:57,104
13:19:02,103
13:19:12,100
13:19:17,100
13:19:22,102
13:19:27,104
13:19:32,102
13:19:37,101
13:19:52,102
13:19:57,102
13:20:07,101
13:20:17,103
13:20:22,100
13:20:27,102
13:20:32,99
13:20:37,100
13:20:42,101
13:20:47,103
13:20:53,100
13:20:58,102
13:21:03,100
13:21:08,101
13:21:13,103
13:21:18,100
13:21:33,99
13:21:38,103
13:21:43,100
13:21:48,99
13:21:53,101
13:22:03,105
13:22:08,104
13:22:13,97
13:22:18,94
13:22:28,96
13:22:33,97
13:22:38,98
13:22:48,96
13:22:53,96
13:22:58,97
13:23:03,96
13:23:08,95
13:23:18,96
13:23:23,97
13:23:33,100
13:23:38,102
13:23:45,97
13:23:55,95
13:24:00,96
13:24:05,97
13:24:15,96
13:24:20,97
13:24:25,96
13:24:35,98
13:24:40,103
13:24:45,98
13:24:50,96
13:24:55,94
13:25:00,95
13:25:05,92
13:25:15,93
13:25:20,92
13:25:35,94
13:25:50,95
13:25:55,94
13:26:00,92
13:26:05,91
13:26:15,92
13:26:20,92
13:26:25,90
13:26:40,90
13:26:45,90
13:27:00,89
13:27:01,89
13:27:16,89
13:27:26,89
13:27:41,89
13:27:46,89
13:27:51,89
13:28:06,83
13:28:11,85
13:28:16,84
13:28:21,85
13:28:26,84
13:28:31,85
13:28:36,84
13:28:46,84
13:28:51,86
13:28:56,87
13:29:01,88
13:29:06,90
13:29:11,92
13:29:16,91
13:29:21,90
13:29:31,91
13:29:36,94
13:29:41,92
13:29:46,91
13:29:51,89
13:30:06,89
13:30:08,89
13:30:13,91
13:30:18,89
13:30:28,84
13:30:33,86
13:30:38,84
13:30:43,86
13:30:48,87
13:30:53,88
13:30:58,87
13:31:03,88
13:31:13,88
13:31:23,88
13:31:38,92
13:31:43,94
13:31:48,91
13:31:53,87
13:32:03,85
13:32:08,87
13:32:13,88
13:32:18,90
13:32:28,91
13:32:38,90
13:32:43,90
13:32:53,91
13:32:58,88
13:33:03,89
13:33:10,85
13:33:15,86
13:33:20,85
13:33:25,90
13:33:30,92
13:33:35,93
13:33:40,91
13:33:45,92
13:33:50,90
13:34:00,91
13:34:15,92
13:34:25,93
13:34:30,91
13:34:35,90
13:34:45,90
13:34:50,91
13:35:00,90
13:35:05,90
13:35:10,91
13:35:15,92
13:35:20,93
13:35:30,93
13:35:35,92
13:35:45,91
13:35:50,90
13:35:55,92
13:36:00,89
13:36:06,89
13:36:11,87
13:36:16,88
13:36:26,91
13:36:31,91
13:36:36,93
13:36:41,92
13:36:46,91
13:36:51,92
13:36:56,91
13:37:01,92
13:37:06,93
13:37:16,94
13:37:21,93
13:37:26,92
13:37:31,90
13:37:41,88
13:37:56,88
13:38:01,90
13:38:06,90
13:38:16,92
13:38:21,92
13:38:26,92
13:38:31,93
13:38:41,94
13:38:46,93
13:38:56,94
13:39:03,93
13:39:08,94
13:39:13,94
13:39:18,93
13:39:23,92
13:39:38,92
13:39:48,90
13:39:53,91
13:39:58,90
13:40:03,91
13:40:08,93
13:40:18,94
13:40:23,94
13:40:28,95
13:40:33,91
13:40:43,92
13:40:48,91
13:40:58,86
13:41:03,86
13:41:08,87
13:41:13,88
13:41:18,89
13:41:28,90
13:41:33,92
13:41:38,93
13:41:43,94
13:41:48,96
13:41:55,95
13:42:00,93
13:42:05,92
13:42:10,90
13:42:15,91
13:42:25,90
13:42:35,92
13:42:40,93
13:42:45,94
13:42:50,92
13:42:55,91
13:43:00,89
13:43:05,90
13:43:10,89
13:43:20,90
13:43:25,90
13:43:30,91
13:43:35,92
13:43:40,92
13:43:45,89
13:43:50,85
13:43:55,86
13:44:00,83
13:44:05,84
13:44:10,85
13:44:15,86
13:44:20,86
13:44:27,86
13:44:32,88
13:44:37,90
13:44:42,91
13:44:52,90
13:44:57,88
13:45:02,86
13:45:12,85
13:45:27,84
13:45:32,83
13:45:47,83
13:45:57,84
13:46:12,91
13:46:22,90
13:46:27,89
13:46:37,88
13:46:42,88
13:46:52,87
13:46:57,86
13:47:07,84
13:47:12,84
13:47:17,85
13:47:32,85
13:47:47,85
13:48:02,90
13:48:07,91
13:48:12,86
13:48:19,83
13:48:34,83
13:48:39,89
13:48:44,91
13:48:49,94
13:48:54,94
13:49:09,94
13:49:19,92
13:49:24,91
13:49:39,92
13:49:54,91
13:50:09,91
13:50:14,89
13:50:19,88
13:50:34,88
13:50:44,87
13:50:49,88
13:50:54,86
13:50:59,84
13:51:04,83
13:51:14,82
13:51:29,83
13:51:34,84
13:51:39,91
13:51:49,90
13:51:54,85
13:51:59,84
13:52:06,84
13:52:11,83
13:52:21,83
13:52:31,82
13:52:41,81
13:52:46,80
13:53:01,80
13:53:11,81
13:53:26,82
13:53:31,83
13:53:36,82
13:53:41,85
13:53:46,87
13:53:51,89
13:53:56,91
13:54:01,93
13:54:06,94
13:54:11,96
13:54:16,100
13:54:26,103
13:54:31,105
13:54:36,106
13:54:46,105
13:54:51,104
13:54:56,103
13:55:01,104
13:55:06,108
13:55:12,113
13:55:17,114
13:55:22,113
13:55:32,116
13:55:37,119
13:55:42,116
13:55:47,114
13:55:52,115
13:56:02,111
13:56:07,110
13:56:17,108
13:56:22,107
13:56:27,104
13:56:32,108
13:56:37,108
13:56:42,106
13:56:47,105
13:56:52,103
13:56:57,101
13:57:02,102
13:57:07,101
13:57:17,105
13:57:22,105
13:57:32,107
13:57:37,103
13:57:42,106
13:57:47,111
13:57:53,107
13:58:03,111
13:58:08,107
13:58:13,112
13:58:18,119
13:58:23,125
13:58:28,123
13:58:33,118
13:58:38,117
13:58:48,114
13:58:53,116
13:58:58,114
13:59:03,113
13:59:08,111
13:59:13,110
13:59:18,104
13:59:23,98
13:59:28,95
13:59:38,96
13:59:48,97
13:59:53,98
14:00:03,99
14:00:18,99
14:00:33,99
14:00:43,101
14:00:48,102
14:00:58,107
14:01:05,112
14:01:10,114
14:01:15,115
14:01:20,110
14:01:25,108
14:01:30,108
14:01:35,110
14:01:40,114
14:01:45,119
14:01:50,126
14:01:55,133
14:02:00,138
14:02:05,141
14:02:10,143
14:02:15,145
14:02:20,147
14:02:35,147
14:02:45,148
14:02:50,147
14:02:55,146
14:03:00,145
14:03:10,142
14:03:15,139
14:03:27,70
14:03:42,70
14:03:57,70
14:04:12,70
14:04:27,70
14:04:42,70
14:04:57,70
14:05:12,70
14:05:27,70
14:05:42,70
14:05:57,70
14:06:12,70
14:06:27,70
14:06:42,70
14:06:57,70
14:07:12,70
14:07:27,70
14:07:42,70
14:07:57,70
14:08:12,70
14:08:27,70
14:08:42,70
14:08:57,70
14:09:12,70
14:09:27,70
14:09:42,70
14:09:57,70
14:10:01,70
14:10:16,70
14:10:31,70
14:10:46,70
14:11:01,70
14:11:16,70
14:11:31,70
14:11:46,70
14:12:26,70
14:12:41,70
14:12:56,70
14:13:11,70
14:13:26,70
14:13:41,70
14:13:56,70
14:14:11,70
14:14:26,70
14:14:41,70
14:14:56,70
14:15:11,70
14:15:26,70
14:15:41,70
14:15:56,70
14:16:11,70
14:16:26,70
14:16:33,70
14:16:39,70
14:16:58,70
14:17:07,70
14:17:23,70
14:17:38,70
14:17:43,66
14:17:48,64
14:17:53,68
14:17:58,73
14:18:03,79
14:18:08,84
14:18:13,89
14:18:18,91
14:18:23,91
14:18:38,91
14:18:43,93
14:18:58,92
14:19:03,97
14:19:08,101
14:21:03,70
14:21:13,67
14:21:28,67
14:21:43,67
14:21:58,67
14:22:13,67
14:22:28,67
14:22:43,67
14:22:58,67
14:23:13,67
14:23:28,67
14:23:38,72
14:23:53,72
14:24:08,72
14:24:23,72
14:24:38,72
14:24:53,73
14:24:58,95
14:25:13,95
14:25:28,95
14:25:43,95
14:25:58,95
14:26:13,95
14:26:28,95
14:26:31,95
14:26:46,95
14:27:01,95
14:27:16,95
14:27:31,95
14:27:46,95
14:28:01,95
14:28:16,95
14:28:31,95
14:28:46,95
14:29:01,95
14:29:16,95
14:29:31,95
14:29:46,95
14:30:01,95
14:30:16,95
14:30:31,95
14:30:46,95
14:31:01,95
14:31:16,95
14:31:31,95
14:31:46,95
14:31:51,100
14:31:56,108
14:32:11,108
14:32:26,108
14:32:30,108
14:32:45,108
14:33:00,108
14:33:15,108
14:33:20,109
14:33:35,109
14:33:50,109
14:33:55,112
14:34:10,112
14:34:25,112
14:34:40,112
14:34:55,112
14:35:10,112
14:35:25,112
14:35:40,112
14:35:55,112
14:36:10,112
14:36:25,112
14:36:40,112
14:36:55,112
14:37:10,112
14:37:25,112
14:37:40,112
14:37:55,112
14:38:10,112
14:38:25,112
14:38:40,112
14:38:43,112
14:38:58,112
14:39:13,112
14:39:28,112
14:39:43,112
14:39:58,112
14:40:13,112
14:40:28,112
14:40:43,112
14:40:58,112
14:41:13,112
14:41:28,112
14:41:43,112
14:41:58,112
14:42:13,112
14:42:28,112
14:42:43,112
14:42:58,112
14:43:13,112
14:43:28,112
14:43:43,112
14:43:58,112
14:44:13,112
14:44:28,112
14:44:43,112
14:44:58,112
14:45:13,112
14:45:16,112
14:45:31,112
14:45:46,112
14:46:01,112
14:46:16,112
14:46:31,112
14:46:46,112
14:47:01,112
14:47:16,112
14:47:31,112
